XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU
1.86879933,1.78892803,0.648853958,2.77275515,2.76534319,1.79092765,1.50326526,2.17204976,1.52552378
-1.12576246,-0.787618458,0.994482338,-1.54944241,1.0185138,0.809241951,-1.02397096,0.000873690355,-0.581575036
-0.393900037,0.0470632091,0.162938327,-0.381927967,-0.41930759,0.2137575,-0.0153687904,-0.444657654,-1.20618677
0.225982562,-1.50893211,1.20282733,-0.686745524,-0.620429873,-0.57353729,0.0269649178,0.512906015,0.297569603
1.28634346,0.113212086,-0.185002774,0.406493604,0.473833561,-0.220016912,1.36672592,0.639965951,0.296409965
-0.224932402,-0.147901893,-0.881346881,-0.537864745,-0.172681302,-0.5790869,0.480251759,-0.860194623,0.734080553
-0.388701528,-1.72969198,-0.629056811,-1.04343951,-0.922821224,-0.704044938,-1.09386873,0.64187932,0.0304154195
-0.637393177,-0.817282677,-0.815335929,-0.280169874,-0.88131088,0.0987127796,-0.645535886,-1.31010556,0.0740961805
-1.5212909,0.249986202,-0.0428903438,-0.203440428,0.0269664433,-0.709182203,-2.11609006,-0.291402608,-0.45148772
0.856324553,-0.084113203,0.255949259,0.996119738,2.47396231,1.06627297,1.15028358,1.18468952,0.424796164
-0.105286308,0.38262251,-0.85387969,-0.66380161,-1.11404264,0.0579111353,-0.963625073,0.24347055,-0.45148772
-1.62173712,-1.8294543,-1.85927331,-0.907318592,-1.63393283,-0.987695277,-0.845224679,-1.28949738,-1.11902308
0.740186214,-0.0850710794,0.0495984443,-0.0481827855,-0.227056682,-0.265438944,-0.500526369,0.090967603,1.53047359
0.314044297,-2.48537564,-0.641658187,-0.443960667,-0.996014357,-0.633943021,-1.13121259,-2.30752087,-0.759586573
-1.46201134,-0.573852956,-0.584975779,0.386963606,-1.42397749,-1.63664246,-1.42522573,0.118275583,-1.2126261
1.1658541,-0.366682887,0.49580732,-0.963322043,0.653248549,0.93428421,1.66398311,0.602991581,1.18593454
-0.232754797,-1.56854665,-0.906379163,-0.0890654325,-0.857626438,-0.936616838,-0.963359177,0.254110456,-0.944603443
-0.530288339,-2.75250435,0.721997142,-0.411929518,0.237730324,0.394993514,0.708123147,-1.15396214,1.05009866
0.99060899,2.29070735,0.524043977,1.11279142,0.756025732,1.37890339,0.966890037,0.443501562,1.59966278
0.353910714,1.68064511,-0.201884091,-0.968761206,-0.334784001,-1.04967153,0.294177264,-0.392918438,-0.576478899
2.19249392,1.16882002,-0.64743948,2.08968163,1.31647527,1.29072666,0.0728133693,1.4516418,1.32320917
0.0989049003,-1.27370799,-1.2389487,0.223906189,-1.20822322,-0.798795164,-0.457440645,0.341430247,-2.22386384
0.7394045,3.97768927,0.957195044,0.950533509,2.17812586,1.03877127,0.822103262,0.720135689,1.20762014
-0.221689865,-0.831390142,-1.04838383,-0.54398185,-0.836635172,0.0589029901,0.421248853,-0.334798485,-1.19039762
1.94865918,2.73802948,-0.637052357,0.981124878,0.940812469,0.982954681,0.418431938,-0.0662458017,0.599076092
0.481321752,0.115211688,0.806779206,-0.615896821,-0.276518524,0.0976219028,0.114222281,0.582214594,-0.537999213
-1.46455681,-2.02368069,0.279202402,-1.08728349,-1.55585992,-1.59334195,-0.971593976,-1.12110639,-1.65240729
-0.854235172,-2.06320381,0.342029452,-1.70645905,-2.00316668,-2.16956639,-0.852281332,-1.65083218,0.74379015
-1.02581501,0.257775992,-0.206295848,-0.0890080929,-0.340328991,-0.779981971,0.996417522,-0.371223062,0.516943157
-1.82441914,-3.86567593,-0.825920343,-2.5963788,-1.57015026,-1.08756959,-1.78491521,-1.48917437,-1.97467721
0.432848811,1.88965738,0.0852363408,1.77018738,-0.455096394,-1.49583352,0.342285693,-0.574945152,0.615799963
0.675243855,4.30070305,0.150318071,1.15993834,0.0303274393,0.0216767881,0.118268125,-0.996243,-1.00417507
1.19178283,0.384686857,1.11657655,0.979574561,2.11128139,0.631287456,-0.59637183,2.38739109,0.122477449
-0.626412392,0.71569556,0.242014289,0.264863729,0.13436377,-0.850652039,0.96493721,-1.02146184,-1.28978145
1.7753793,0.644595385,0.901553452,2.28366017,1.07500112,1.96841943,0.863583446,0.122547664,0.991229951
-1.25539756,-1.21189201,-0.927455544,-0.497598916,-0.0237105265,-0.15030393,-0.0153687904,0.146100938,-0.926088035
-1.76962614,-1.36093521,-1.29972005,-0.884182632,-0.649880409,-0.494105101,-1.02715504,0.0025482378,0.489909351
0.183354557,1.25947702,0.440838069,2.68727422,-0.0237105265,0.235749632,-0.148476616,-0.0930070579,2.10294318
2.55581093,1.83613074,0.244691893,3.84127879,3.71896815,1.67455447,-0.193249553,1.53638947,2.99813199
1.88930821,0.375561297,0.371272504,-0.31686905,1.66703892,0.354435414,1.87263,2.19832826,-0.184947237
